__time,/calibration/data.0,/calibration/data.1
1703249240.270251,0.307711271,1.415103568
1703249257.483254,0.308046773,1.414606799
1703249274.737243,0.308363009,1.399681293
1703249291.984604,0.307795086,1.401037994
1703249309.244290,0.307709789,1.401033068
1703249326.540045,0.307168755,1.393388540
1703249343.789407,0.308021858,1.389670185
1703249361.075893,0.307599174,1.388346043
1703249378.375054,0.307570962,1.389681729
1703249395.649290,0.306984013,1.389218523
1703249412.936993,0.307456522,1.389626352
1703249430.185143,0.307319451,1.383398842
1703249447.394721,0.308321579,1.381999983
1703249464.646786,0.308482751,1.376439454
1703249481.894795,0.308240504,1.376411631
1703249499.167907,0.307786594,1.376641053
1703249516.439029,0.307820688,1.373700625
1703249533.734403,0.308228221,1.372152077
1703249550.987170,0.307794669,1.364200398
1703249568.265741,0.307684546,1.366987810
1703249585.488508,0.307578312,1.357016279
1703249602.723602,0.307369996,1.356669237
1703249619.944861,0.307793889,1.353295132
1703249637.150632,0.308162654,1.353982742
1703249654.387435,0.308000757,1.353270655
1703249671.599691,0.307967762,1.347899528
1703249688.858576,0.307340736,1.351316286
1703249706.048139,0.308256126,1.344114108
1703249723.255745,0.307590222,1.346433844
1703249740.455470,0.307688876,1.341478158
1703249757.679100,0.308085658,1.341502330
1703249774.905246,0.308160757,1.338990564
1703249792.077865,0.307772520,1.338969111
1703249809.339483,0.307608596,1.333397481
1703249826.596954,0.307874038,1.343491233
1703249843.854141,0.307527475,1.343774900
1703249861.042151,0.307678050,1.330985380
1703249878.279173,0.307788777,1.328013153
1703249895.494473,0.308485374,1.330100495
1703249912.695385,0.307428695,1.326439605
1703249929.926740,0.307273494,1.326079853
1703249947.097447,0.308667169,1.337747836
1703249964.370215,0.308118406,1.323965115
1703249981.575059,0.307770652,1.320699793
1703249998.845971,0.308227649,1.316379016
1703250016.124303,0.307996630,1.320440743
1703250033.301965,0.308517764,1.318978278
1703250050.503028,0.307822470,1.315664964
1703250067.741860,0.307368846,1.312487292
