__time,/calibration/data.0,/calibration/data.1,/calibration/data.2,/calibration/data.3,/calibration/data.4,/calibration/data.5,/calibration/data.6
1703235809.741517,0.001944483,-0.002278663,0.006926296,0.004197639,-0.070807859,0.032841611,0.009899853
1703235952.020688,0.002372545,-0.002270046,0.007698459,0.003668069,-0.071959953,0.032010239,0.009864081
1703236094.365052,0.002562137,-0.002776496,0.007756308,0.004018198,-0.071427888,0.031385128,0.011576820
1703236236.648985,0.002669097,-0.002771817,0.007475266,0.004881720,-0.071923948,0.030885287,0.011744408
1703236378.930853,0.002076674,-0.002119138,0.007538083,0.003684811,-0.072767445,0.030844012,0.012095281
1703236521.354434,0.002152369,-0.002487028,0.007339879,0.000203114,-0.072998223,0.030489723,0.012131812
1703236663.724806,0.002053666,-0.001855045,0.007797249,0.001414140,-0.072077453,0.030299848,0.012402136
1703236806.135750,0.002273713,-0.003067560,0.006774189,-0.001141706,-0.071404687,0.030504053,0.013093461
1703236948.550501,0.002367534,-0.002422590,0.007734138,-0.001384101,-0.073106143,0.029970675,0.012385175
1703237090.818958,0.002397782,-0.002823741,0.007034364,-0.001353838,-0.071285781,0.030563560,0.012760700
1703237233.159373,0.002512459,-0.002831408,0.007820549,-0.002346998,-0.072756491,0.030419674,0.012113927
1703237375.490126,0.002375104,-0.002724380,0.008092094,-0.001288506,-0.071833669,0.030172218,0.011882106
1703237517.836529,0.001690883,-0.002115032,0.007408242,-0.001546826,-0.072014268,0.030634748,0.011254415
1703237660.185314,0.002274082,-0.002486361,0.008340215,-0.003547253,-0.070871362,0.029528681,0.012536041
1703237802.392308,0.001656789,-0.001704838,0.008373792,-0.002671682,-0.071293024,0.028807064,0.012578288
1703237944.769172,0.002122461,-0.002560076,0.006945642,-0.001035261,-0.070468842,0.030411130,0.012446017
1703238087.083081,0.002078563,-0.002553668,0.007876581,-0.001540795,-0.072315025,0.029725529,0.012371890
1703238229.423312,0.002192726,-0.002545504,0.007445071,-0.001881808,-0.071970432,0.030790414,0.012111039
1703238371.762917,0.002193369,-0.003041875,0.007033412,-0.003653910,-0.071967494,0.031350172,0.012157800
1703238513.983311,0.002177155,-0.003009894,0.007427597,0.000824947,-0.072267942,0.030735633,0.012243536
1703238656.247930,0.001929836,-0.002349817,0.007991776,-0.002701322,-0.073438224,0.030143934,0.011808760
1703238798.600495,0.002053275,-0.002795522,0.007611742,-0.002858987,-0.071045338,0.030460355,0.012142790
1703238940.962105,0.001626122,-0.002124338,0.007781873,-0.001370880,-0.073110572,0.030343680,0.012438348
1703239083.125879,0.002348734,-0.003032516,0.007398831,-0.003600604,-0.071725230,0.030322186,0.012030441
1703239225.473160,0.002191076,-0.002307352,0.007703214,-0.002845821,-0.072332996,0.030542651,0.011322299
1703239367.827793,0.002007845,-0.002538348,0.007382217,-0.002506304,-0.071154978,0.031276596,0.010598115
1703239510.158853,0.002270056,-0.002831918,0.006160803,-0.002821392,-0.071161323,0.031530487,0.011114229
1703239652.545657,0.001882904,-0.002211664,0.006445406,-0.002030596,-0.072695552,0.031544582,0.011045563
1703239794.781408,0.001542388,-0.002103594,0.006465467,-0.002369293,-0.073683340,0.032212005,0.010254323
1703239936.965363,0.001613745,-0.001879542,0.006784698,-0.001972579,-0.072635240,0.031258308,0.010185461
1703240079.337738,0.001502322,-0.001819288,0.007109836,-0.004004684,-0.072528594,0.031721535,0.010343834
1703240221.688052,0.001714861,-0.002352760,0.006949649,-0.001033183,-0.072155314,0.031414358,0.011655746
1703240364.051314,0.001887858,-0.002132340,0.006854745,-0.001595560,-0.073818491,0.030148798,0.012663002
1703240506.363755,0.001964827,-0.002290326,0.006613982,-0.001439927,-0.072612871,0.029365423,0.013928058
1703240648.698196,0.001638607,-0.001594647,0.007114272,-0.003698795,-0.074094220,0.028254920,0.014210757
1703240790.978962,0.001844253,-0.002200499,0.006728685,-0.004598952,-0.071013638,0.027741489,0.014611318
1703240933.301060,0.001784565,-0.002248986,0.006637269,-0.001007110,-0.071932511,0.026957870,0.015519280
1703241075.643177,0.001594233,-0.002106935,0.006121286,-0.000908084,-0.072144266,0.026817232,0.017025753
1703241218.048437,0.001884547,-0.002718575,0.006198199,-0.004220736,-0.073590232,0.027167292,0.015850956
1703241360.315844,0.001595370,-0.001912992,0.006673202,-0.002331343,-0.073383749,0.026970556,0.015478771
1703241502.655580,0.001650096,-0.001743093,0.007281115,-0.005122000,-0.072175097,0.026201251,0.015731546
1703241645.055073,0.001818912,-0.002163986,0.006681490,-0.001862706,-0.070850836,0.027447871,0.015747389
1703241787.348893,0.001421634,-0.001704107,0.007239085,-0.002077160,-0.073451303,0.026849198,0.015796846
1703241929.654559,0.001464673,-0.002004254,0.006464463,-0.005917818,-0.072475917,0.026779318,0.016244007
1703242072.104661,0.001649431,-0.002423319,0.006830141,-0.003194844,-0.071863450,0.026874427,0.016381816
1703242214.317275,0.001867783,-0.002592561,0.006565609,-0.004095826,-0.072555785,0.027025710,0.016053483
1703242356.598629,0.001699805,-0.002057836,0.007755205,-0.003198728,-0.072584132,0.025228033,0.016747451
1703242498.856706,0.001614297,-0.001941189,0.006575816,-0.003993132,-0.071428083,0.026470454,0.017147277
1703242641.239323,0.001751865,-0.002165354,0.006485827,-0.002982936,-0.073634517,0.026163129,0.017584119
